N,true_prev,n,Se,n_Se,Sp,n_Sp,repl,coverage_prLik_mean,width_prLik_mean,width_prLik_sd,loc_prLik_mean,loc_prLik_sd,loc_RG_mean,loc_RG_sd
50,0.01,5,0.99,1000,0.99,50,5000,0.9734,0.447352,0.0317349888593581,0.00889156898043307,0.0404616182987888,0.00913787220092482,0.0415683443172463
50,0.02,5,0.99,1000,0.99,50,5000,0.9946,0.461544,0.0531844129454869,0.027732775527567,0.0706965911534616,0.0284845209838665,0.0724568989294796
50,0.05,5,0.99,1000,0.99,50,5000,0.9848,0.476076,0.0666439082444991,0.0468978778975704,0.0895516180870762,0.0480970019134948,0.091540767484547
50,0.1,5,0.99,1000,0.99,50,5000,0.9928,0.517116,0.0879619804574749,0.105824454755494,0.130345013952161,0.108002095082142,0.131952932928011
50,0.2,5,0.99,1000,0.99,50,5000,0.9686,0.572408,0.0963139492044754,0.201732694527404,0.173718655376553,0.204363789611198,0.173738268164261
50,0.5,5,0.99,1000,0.99,50,5000,0.9456,0.649316,0.0714058254092793,0.492214340291991,0.223615911725683,0.492274114512414,0.22076114879759
50,0.01,5,0.8,50,0.8,100,5000,0.9728,0.727368,0.168727610002855,0.115536810373156,0.196724315788294,0.114351256028991,0.197128335503259
50,0.02,5,0.8,50,0.8,100,5000,0.9714,0.743656,0.171369154579896,0.136881726230402,0.213673218465947,0.135606697672814,0.214303187607407
50,0.05,5,0.8,50,0.8,100,5000,0.9766,0.749236,0.172943800743603,0.143807010009915,0.216480597238639,0.142593848352749,0.217112618855167
50,0.1,5,0.8,50,0.8,100,5000,0.9778,0.78112,0.172132598674119,0.188423327992984,0.244115235163571,0.187250847489635,0.244934810006406
50,0.2,5,0.8,50,0.8,100,5000,0.9672,0.815604,0.168858454983942,0.251324285077916,0.273032512186204,0.250301388431052,0.274056575230128
50,0.5,5,0.8,50,0.8,100,5000,0.995,0.869648,0.15049865801798,0.497952089317735,0.32134231989208,0.497706272206556,0.322699832959371
50,0.01,5,0.9,50,0.8,100,5000,0.9716,0.63152,0.165323791364698,0.104280216783448,0.170245043425831,0.102713041606661,0.170010980386604
50,0.02,5,0.9,50,0.8,100,5000,0.9722,0.641124,0.169930667951321,0.115395297366508,0.180594789255797,0.113777322055812,0.180463247903502
50,0.05,5,0.9,50,0.8,100,5000,0.9782,0.653272,0.17149173711634,0.12671707795118,0.186471449949325,0.125031559596437,0.18634891271423
50,0.1,5,0.9,50,0.8,100,5000,0.9784,0.688588,0.176250444254249,0.16711782348439,0.214801302311225,0.165381769307658,0.214874123216647
50,0.2,5,0.9,50,0.8,100,5000,0.9574,0.74084,0.17598286392055,0.248249169959099,0.253229857329294,0.246393559205921,0.253631370128002
50,0.5,5,0.9,50,0.8,100,5000,0.988,0.821728,0.147163261111883,0.50236132337453,0.290408147682042,0.501087075726509,0.29152371446824
50,0.01,5,0.99,50,0.8,100,5000,0.9674,0.549972,0.140950390629199,0.0906625037333208,0.148105921403128,0.0888517704989752,0.14720954953049
50,0.02,5,0.99,50,0.8,100,5000,0.968,0.562536,0.145351553548023,0.106164045063325,0.166714185505877,0.104307328540155,0.165760028879944
50,0.05,5,0.99,50,0.8,100,5000,0.9746,0.56986,0.146648837623471,0.111510179841505,0.166133062463083,0.109463415818911,0.165262384373592
50,0.1,5,0.99,50,0.8,100,5000,0.981,0.610548,0.157089513077811,0.15725514397116,0.193498046997146,0.154991546620868,0.192687529513877
50,0.2,5,0.99,50,0.8,100,5000,0.9626,0.66346,0.156293166551779,0.229019187827264,0.223996913652526,0.226369045546918,0.223145482369507
50,0.5,5,0.99,50,0.8,100,5000,0.987,0.760364,0.117520337431195,0.510225763197149,0.264937332770504,0.506715247912798,0.264574102246116
50,0.01,5,0.8,100,0.8,100,5000,0.9714,0.72698,0.167010353246792,0.120706742417475,0.197202321346467,0.119437542022044,0.197560104660796
50,0.02,5,0.8,100,0.8,100,5000,0.9728,0.742068,0.169982064219821,0.140291262020877,0.214700901473176,0.139015732219492,0.215154848579206
50,0.05,5,0.8,100,0.8,100,5000,0.9772,0.743088,0.170171019539692,0.141075919969564,0.212761263343107,0.139749849304316,0.213228275631234
